,Date,Dividends
0,2010-03-08,0.1308568
1,2010-06-09,0.1308568
2,2010-09-07,0.1308568
3,2010-12-02,0.13085707
4,2011-03-09,0.13447623
5,2011-06-08,0.13447623
6,2011-09-07,0.13447623
7,2011-11-28,0.13447647
8,2012-03-07,0.14120005
9,2012-06-06,0.14120005
10,2012-09-05,0.14120005
11,2012-11-28,0.9669134
12,2013-03-04,0.14503701
13,2013-06-05,0.14503701
14,2013-09-04,0.14503701
15,2013-11-26,0.1450372
16,2014-03-03,0.15228885
17,2014-06-03,0.15228885
18,2014-09-03,0.15228885
19,2014-11-25,0.15228906
20,2015-03-04,0.1599033
21,2015-06-03,0.1599033
22,2015-09-09,0.1599033
23,2015-11-24,0.15990351
24,2016-03-09,0.16789846
25,2016-06-08,0.16789846
26,2016-09-07,0.16789846
27,2016-11-30,0.16790965
28,2017-03-08,0.17629339
29,2017-06-07,0.17629339
30,2017-09-07,0.17629339
31,2017-11-29,0.17629363
32,2018-03-08,0.19333509
33,2018-06-07,0.19333509
34,2018-09-06,0.19333509
35,2018-11-29,0.19333549
36,2019-03-07,0.22459778
37,2019-06-06,0.22459778
38,2019-09-05,0.22459778
39,2019-12-02,0.22459774
40,2020-03-05,0.24489796
41,2020-06-04,0.24489796
42,2020-09-03,0.24489796
43,2020-12-01,0.25714287
